Employee #, Names,Date,Log In,Log Out,Submitted to Supervisor,Submitted to Payroll Staff,Remarks,
10002,Lim Antonio,02/17/2025,08:02,16:58,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/18/2025,08:00,17:02,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/19/2025,08:00,17:00,Yes,Yes,With Approved Leave,
10002,Lim Antonio,02/20/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/21/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/22/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/24/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/25/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/26/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/27/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10002,Lim Antonio,02/28/2025,08:00,17:00,Yes,Yes,With Approved Overtime,
10001,Garcia Manuel III,02/17/2025,08:02,16:58,Yes,Yes, ,
10001,Garcia Manuel III,02/18/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/19/2025,08:00,17:00,Yes,Yes,With Approved Leave,
10001,Garcia Manuel III,02/20/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/21/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/22/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/24/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/25/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/26/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/27/2025,08:00,17:00,Yes,Yes, ,
10001,Garcia Manuel III,02/28/2025,08:00,17:00,Yes,Yes, ,
